Abborrgrundet-Inkoo;188142; 3.0; 2.4;MW2013;POLYGON ((27.7020433774647 60.4487770871112, 27.7055084002909 60.4472713380439, 27.7146005866902 60.4511561456963, 27.7189352578333 60.456562736, 27.7236744815567 60.456812612382, 27.7236690554147 60.4572613304076, 27.7180467783976 60.4574739982463, 27.7136723958333 60.4527407243333, 27.7020433774647 60.4487770871112))
Airisto-Nötö väylä;105927; 2.4; 1.8;NN+75.10;POLYGON ((28.1397989567025 61.2130386590024, 28.1396195189566 61.2140973746439, 28.1395276968178 61.2158813972987, 28.1396376691066 61.2211880412896, 28.1382389659966 61.2213511329136, 28.1392577794679 61.2164454754432, 28.1393229930466 61.2158813232815, 28.1394355370278 61.2141554614492, 28.1395039830598 61.2132690940199, 28.1397989567025 61.2130386590024))
Airisto-Nötö väylä;105917; 2.4; 1.8;NN+75.10;POLYGON ((28.1906038154429 61.201226445482, 28.1845557012037 61.2033195153957, 28.1738273204427 61.2065601808744, 28.1529663549589 61.2073082727956, 28.1498891835343 61.2075112193763, 28.1438889166133 61.2083724090154, 28.1418931477643 61.2095685032401, 28.1397989567025 61.2130386590024, 28.1395039830598 61.2132690940199, 28.1392826408871 61.2104394712573, 28.1409527500157 61.2093915472324, 28.1451132930586 61.2068907371893, 28.1552155113024 61.2066456369568, 28.171713618064 61.2061512807657, 28.1749518132361 61.2056834832334, 28.1902041791567 61.2007901967179, 28.1906038154429 61.201226445482))
Airisto-Nötö väylä;105909; 2.4; 1.8;NN+75.10;POLYGON ((28.2429471757067 61.1928406033051, 28.2390096757002 61.1936269669797, 28.2369608933388 61.1951112724055, 28.2359655783776 61.1958731148202, 28.2087642187379 61.2005110078497, 28.1906038154429 61.201226445482, 28.1902041791567 61.2007901967179, 28.2097851813431 61.1999723864784, 28.2172122085611 61.1987678679852, 28.2311236831723 61.1963625772332, 28.2358616382808 61.1952972108107, 28.2384206959028 61.1934034956231, 28.2421439524833 61.1927492481575, 28.2429471757067 61.1928406033051))
Airisto-Nötö väylä;105891; 2.4; 1.8;NN+75.10;POLYGON ((28.3000409594647 61.1590777333481, 28.3012307872742 61.1604538274846, 28.3011430923322 61.1627450763712, 28.3010464881518 61.1659931385607, 28.3003465790755 61.1663229608211, 28.2990458827563 61.1670444676178, 28.2961293144212 61.1684186605688, 28.2947245080994 61.1690980414148, 28.2945896475704 61.1690266341306, 28.2974027298582 61.1676633394596, 28.3000523428572 61.166171417737, 28.3007808768086 61.1654087298939, 28.3010325102165 61.1627537600005, 28.3010616544919 61.1604518632436, 28.2998356926455 61.1591003470156, 28.2996178638772 61.158849095693, 28.3000409594647 61.1590777333481))
Airisto-Revgrund väylä;102826; 6.0; 3.0;MW2000;POLYGON ((22.7624620036624 59.7824805683858, 22.6202824972313 59.7144985606802, 22.6238262424811 59.7126129169924, 22.7213849393333 59.7593036061667, 22.7541208988333 59.7735634808333, 22.7784893331575 59.7820751146893, 22.7759997144798 59.7852120762421, 22.7624620036624 59.7824805683858))
Airisto-Vapparn-Parainen-väylä;121021; 3.0; 2.4;NN+75.10;POLYGON ((28.1111868891163 61.1189911596525, 28.1012621498678 61.119085204641, 28.0955610631667 61.1134367911667, 28.0946652471717 61.112502763864, 28.0963759139712 61.1129199568693, 28.1027493102392 61.1181814065183, 28.1110598101792 61.1183637976075, 28.1111868891163 61.1189911596525))
Airisto-Vapparn-Parainen-väylä;121024; 3.0; 2.4;NN+75.10;POLYGON ((28.0946652471717 61.112502763864, 28.0967399999786 61.1113616658858, 28.1023376397807 61.1091577011389, 28.1045035839071 61.1041478053133, 28.1072301676832 61.0997391354131, 28.1184338111761 61.0944024462091, 28.1264166666457 61.0863833325503, 28.1423098999557 61.0778988886833, 28.1443632990244 61.0709716819048, 28.1646982549523 61.0567582469767, 28.1662198471518 61.057269400725, 28.145917552517 61.0714604964207, 28.1437094661634 61.0785044782125, 28.1393645414831 61.0812841804776, 28.1198514823708 61.0949860027223, 28.1089171213905 61.1001945854054, 28.1038106068377 61.1089549527163, 28.098668252023 61.111139112182, 28.0963759139712 61.1129199568693, 28.0946652471717 61.112502763864))
Akkasaari - Lappeenrannan satama väylä;75955; 4.8; 4.2;NN+75.10;POLYGON ((28.6184773095624 61.8192574811738, 28.6336307522583 61.8126298552795, 28.6484932738333 61.8062788113333, 28.6509292615 61.8043945671667, 28.6514901047297 61.8023172431352, 28.651051967 61.793060326, 28.6547046525708 61.7946381089011, 28.6542031565841 61.7969144450884, 28.6536993661958 61.7985482019139, 28.654289348032 61.8062574578514, 28.6403156204999 61.8110310439097, 28.6359106541762 61.8129791739327, 28.6297582415653 61.8157098415539, 28.6229550736154 61.8188806386453, 28.6207479966413 61.8206228436799, 28.6210796136375 61.821777918415, 28.6216054847726 61.8231657810426, 28.6154736786342 61.827219888866, 28.6174218811667 61.8220558166667, 28.6184773095624 61.8192574811738))
Akkasaari - Lappeenrannan satama väylä;232360; 5.2; 4.2;NN+75.10;POLYGON ((28.893251382918 61.8175708132746, 28.8870677329539 61.8254153992699, 28.8841664732166 61.8306657206935, 28.8843885428682 61.8310891340191, 28.881434552095 61.8375824243609, 28.8784961972351 61.8397811677009, 28.8782936635279 61.840226130559, 28.8842759253549 61.8466176365944, 28.8769259511667 61.8531683391667, 28.8714930591667 61.855796427, 28.868764424 61.8538290385, 28.8694492911636 61.8512919313682, 28.8725263499075 61.8398875166871, 28.8745729423826 61.8374872420963, 28.8798893892712 61.8312501517205, 28.8803713744035 61.8301907724271, 28.8801036378212 61.8292859465811, 28.8823730681471 61.8242967821212, 28.8853500271667 61.8215674371667, 28.893251382918 61.8175708132746))
Akkasaari - Lappeenrannan satama väylä;232352; 5.0; 4.2;+75,10 NN;POLYGON ((28.868764424 61.8538290385, 28.8714930591667 61.855796427, 28.8709809723333 61.8566730875, 28.8710960183333 61.8585549293333, 28.8675433665 61.858571596, 28.868764424 61.8538290385))
Akkasaari - Lappeenrannan satama väylä;232344; 5.0; 4.2;+75,10 NN;POLYGON ((28.868764424 61.8538290385, 28.8675433665 61.858571596, 28.861501013 61.8598081555, 28.8574759076667 61.8590505513333, 28.868764424 61.8538290385))
Akkasaari - Lappeenrannan satama väylä;191103; 4.8; 4.2;NN+75.10;POLYGON ((28.2261551507322 61.5491230158192, 28.2301829221667 61.5659030971667, 28.2309437080955 61.5681480724415, 28.2316521623381 61.5689138358093, 28.234757053802 61.5704264527921, 28.2352787146832 61.5710339386524, 28.2375057406089 61.5722435339942, 28.2380117924135 61.5747312034504, 28.236518494086 61.5769015919682, 28.2363594776126 61.5773321975538, 28.2420553237767 61.5816692460557, 28.2468623521667 61.5851274278333, 28.2508848662105 61.585659030239, 28.2493538768287 61.5865978040131, 28.2419144562159 61.5854877379095, 28.2353539504145 61.5786561154358, 28.2345638061869 61.5778330919624, 28.2361068687482 61.5746279249136, 28.2357092508633 61.5727721365794, 28.2349369968033 61.5717273309838, 28.2338172427687 61.5707320569591, 28.2274568799877 61.5677668072467, 28.2230904401667 61.5601993653333, 28.2152987723333 61.5415783383333, 28.2261551507322 61.5491230158192))
Akkasaari - Lappeenrannan satama väylä;226206; 4.8; 4.2;NN+75.10;POLYGON ((28.5069733963206 61.731644137608, 28.5092994939651 61.7340000275973, 28.506222436717 61.7362496869977, 28.5069733963206 61.731644137608))
Akkasaari - Lappeenrannan satama väylä;226260; 4.8; 4.2;NN+75.10;POLYGON ((28.5069733963206 61.731644137608, 28.506222436717 61.7362496869977, 28.5055490799629 61.7373128691965, 28.5047152068095 61.7382987985629, 28.5048043277749 61.7384546572232, 28.5051815764506 61.7390033967612, 28.5058006043333 61.7396762263333, 28.5079300008333 61.7425739781667, 28.5025837440725 61.7401702982156, 28.5032952988982 61.7386243550687, 28.5032309319752 61.7384659817755, 28.5017417121692 61.735757863133, 28.5060070331667 61.7323715155, 28.5069733963206 61.731644137608))
Akkasaari - Lappeenrannan satama väylä;226241; 4.8; 4.2;NN+75.10;POLYGON ((28.501288012 61.7255557405, 28.5027083811667 61.727418062, 28.5060351656667 61.7311928248333, 28.5064601764561 61.7313958014701, 28.5069733963206 61.731644137608, 28.5060070331667 61.7323715155, 28.505526397 61.7315792926667, 28.5021301675 61.7277272948333, 28.499945262088 61.7263547022143, 28.4935870157773 61.7223600009044, 28.501288012 61.7255557405))
Akkasaari - Lappeenrannan satama väylä;159973; 4.8; 4.2;NN+75.10;POLYGON ((28.523653718839 61.7066793977012, 28.5217975212076 61.7122170466314, 28.5186824901898 61.7132453245076, 28.5106264362801 61.7159044842764, 28.501288012 61.7255557405, 28.4935870157773 61.7223600009044, 28.5027640034837 61.7169661735122, 28.512626295261 61.7131669838071, 28.523653718839 61.7066793977012))
Akkasaari - Lappeenrannan satama väylä;162298; 4.8; 4.2;NN+75.10;POLYGON ((28.483681586 61.600381548, 28.495081439707 61.6003592627446, 28.4960135178383 61.6052340088921, 28.5005275064311 61.6088774917956, 28.4982047627614 61.6134426090351, 28.496442250599 61.6115653684351, 28.4935029458333 61.6084344795, 28.4883669783333 61.6017294261667, 28.483681586 61.600381548))
Akkasaari - Lappeenrannan satama väylä;164778; 5.2; 4.2;NN+75.10;POLYGON ((28.6216054847726 61.8231657810426, 28.6500825615883 61.8216532588291, 28.6602428947184 61.8202189071521, 28.7132523621667 61.8168814973333, 28.7967163826647 61.8122085320512, 28.8081037376751 61.8114723211371, 28.8324187074291 61.8112472281325, 28.873931773113 61.810852973232, 28.8809604400451 61.8107849790236, 28.87807939 61.8140257218333, 28.8690764927068 61.813697261292, 28.8491369496287 61.8151665056575, 28.8053122855788 61.8159032327227, 28.7830833320673 61.8150678142826, 28.766327701464 61.8171030374798, 28.7469476901895 61.8183291421797, 28.7405936867544 61.818181132501, 28.7353626414109 61.8183962952893, 28.7143652952432 61.8208367020751, 28.6724189876868 61.823470448543, 28.6480933978796 61.8246287698562, 28.6154736786342 61.827219888866, 28.6216054847726 61.8231657810426))
Akkasaari - Lappeenrannan satama väylä;164773; 5.2; 4.2;NN+75.10;POLYGON ((28.8809604400451 61.8107849790236, 28.893251382918 61.8175708132746, 28.8853500271667 61.8215674371667, 28.87807939 61.8140257218333, 28.8809604400451 61.8107849790236))
Akkasaari - Lappeenrannan satama väylä;160004; 4.8; 4.2;NN+75.10;POLYGON ((28.550068442 61.7587405415, 28.5806821148333 61.7677137695, 28.5957118428006 61.771816799659, 28.5986400825968 61.7726161285586, 28.6189047438645 61.7781472525341, 28.6288199978903 61.783060127251, 28.6309324683333 61.7833737738333, 28.6400515598253 61.7850222530691, 28.6437651165 61.7856933285, 28.6511367291986 61.7922554487297, 28.6516523077138 61.7926464045625, 28.6547046525708 61.7946381089011, 28.651051967 61.793060326, 28.6500989657608 61.7924893505637, 28.6376657762159 61.7862523925905, 28.6326604937197 61.784791634531, 28.6286463913147 61.7843411070985, 28.6224028134725 61.7824785603815, 28.6164259632432 61.7800101512557, 28.5947529827151 61.7756030920453, 28.5736535248121 61.7682628260908, 28.5635589763333 61.7645803243333, 28.550068442 61.7587405415))
Akkasaari - Lappeenrannan satama väylä;153975; 4.8; 4.2;NN+75.10;POLYGON ((28.2562933412173 61.58483707904, 28.3007813083333 61.5975462991667, 28.34023606 61.6002496166667, 28.3538577631667 61.6027725673333, 28.3631357164535 61.6038937292152, 28.3810399961667 61.6046590715, 28.3760444611322 61.608202470259, 28.3586112761667 61.6047024955, 28.3405608423333 61.6022850718333, 28.2990898237709 61.6007572413111, 28.271383312237 61.5940386299979, 28.25833828214 61.5896058771545, 28.2494511218333 61.5865856231667, 28.2508848662105 61.585659030239, 28.2562933412173 61.58483707904))
Akkasaari - Lappeenrannan satama väylä;153958; 4.8; 4.2;NN+75.10;POLYGON ((28.3810399961667 61.6046590715, 28.4002714113233 61.6055878485288, 28.4042566919805 61.6054202526274, 28.4175600952154 61.6043865875493, 28.4478438368437 61.6035795534824, 28.4814984613333 61.5994458216667, 28.4881993460889 61.5986916471076, 28.495081439707 61.6003592627446, 28.483681586 61.600381548, 28.4684508491667 61.6032904713333, 28.4494869789712 61.6066175090242, 28.4177710013333 61.6061893281667, 28.4005359571313 61.6078598008476, 28.3760444611322 61.608202470259, 28.3810399961667 61.6046590715))
